"station_type","hour_rounded","hour","day","weekend","week","month","quarter","dayOfMonth","interactions"
"Dublin Central","2024-05-06 03:00:00.000","3","Monday","Weekday","19","May","Q2: Apr - Jun","6","0"
"Dublin Central","2024-05-06 04:00:00.000","4","Monday","Weekday","19","May","Q2: Apr - Jun","6","14"
"Dublin Central","2024-05-06 05:00:00.000","5","Monday","Weekday","19","May","Q2: Apr - Jun","6","31"
"Dublin Central","2024-05-06 06:00:00.000","6","Monday","Weekday","19","May","Q2: Apr - Jun","6","75"
"Dublin Central","2024-05-06 07:00:00.000","7","Monday","Weekday","19","May","Q2: Apr - Jun","6","90"
"Dublin Central","2024-05-06 08:00:00.000","8","Monday","Weekday","19","May","Q2: Apr - Jun","6","86"
"Dublin Central","2024-05-06 09:00:00.000","9","Monday","Weekday","19","May","Q2: Apr - Jun","6","95"
"Dublin Central","2024-05-06 10:00:00.000","10","Monday","Weekday","19","May","Q2: Apr - Jun","6","135"
"Dublin Central","2024-05-06 11:00:00.000","11","Monday","Weekday","19","May","Q2: Apr - Jun","6","169"
"Dublin Central","2024-05-06 12:00:00.000","12","Monday","Weekday","19","May","Q2: Apr - Jun","6","194"
"Dublin Central","2024-05-06 13:00:00.000","13","Monday","Weekday","19","May","Q2: Apr - Jun","6","159"
"Dublin Central","2024-05-06 14:00:00.000","14","Monday","Weekday","19","May","Q2: Apr - Jun","6","140"
"Dublin Central","2024-05-06 15:00:00.000","15","Monday","Weekday","19","May","Q2: Apr - Jun","6","174"
"Dublin Central","2024-05-06 16:00:00.000","16","Monday","Weekday","19","May","Q2: Apr - Jun","6","134"
"Dublin Central","2024-05-06 17:00:00.000","17","Monday","Weekday","19","May","Q2: Apr - Jun","6","123"
"Dublin Central","2024-05-06 18:00:00.000","18","Monday","Weekday","19","May","Q2: Apr - Jun","6","93"
"Dublin Central","2024-05-06 19:00:00.000","19","Monday","Weekday","19","May","Q2: Apr - Jun","6","79"
"Dublin Central","2024-05-06 20:00:00.000","20","Monday","Weekday","19","May","Q2: Apr - Jun","6","78"
"Dublin Central","2024-05-06 21:00:00.000","21","Monday","Weekday","19","May","Q2: Apr - Jun","6","78"
"Dublin Central","2024-05-06 22:00:00.000","22","Monday","Weekday","19","May","Q2: Apr - Jun","6","49"
